EPOCHS_EMPTY_FROM_MVT_TMIN,EPOCHS_INTENTION_FROM_MVT_TMIN,EPOCHS_LENGTH,EPOCHS_TMIN,FMAX,FMIN,pipeline,clf__activation,clf__alpha,clf__hidden_layer_sizes,clf__learning_rate,clf__learning_rate_init,clf__max_iter,clf__solver,score_A,score_B,score_C,score_X,duration_preprocessing,duration_train,memory,FILE_PATH,NUMBER_OF_SESSIONS,RANDOM_STATE,N_SPLIT,BINARY_CLASSIFICATION,VERSION,PATH_RESULTS,NAME_RESULTS,PATH_DATA_PROCESSED,FOLDER_RESULTS_ITERATIONS,NAME_RESULTS_ITERATIONS,LOG_FOLDER,SAVE_EACH_ITERATION,REMOVE_ITERATIONS,REMOVE_DATA_PROCESSED
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate_init=0.0001, solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",constant,0.0001,200,sgd,0.5,0.5007040701051081,0.5003387533875339,0.5,462.76612520217896,417.13916754722595,3148.2578125,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               max_iter=300, solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",constant,0.001,300,sgd,0.5175864972443356,0.5325048832072206,0.5266927785248434,0.5497869544185429,462.76612520217896,535.7280979156494,2915.80078125,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate_init=0.01, max_iter=400,
                               solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",constant,0.01,400,sgd,0.5686587716850009,0.5358049207021918,0.5334285088797527,0.5442890992755418,462.76612520217896,431.92164397239685,2914.859375,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate_init=0.1, max_iter=500,
                               solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",constant,0.1,500,sgd,0.5485346511543827,0.596768123783118,0.5363828866166094,0.5051688485479691,462.76612520217896,361.9202220439911,2916.9296875,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate='invscaling', max_iter=100,
                               solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",invscaling,0.001,100,sgd,0.4988664918176964,0.49693036498889626,0.49955143540669855,0.5003520317259613,462.76612520217896,326.38258481025696,2919.02734375,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate='invscaling',
                               learning_rate_init=0.01, solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",invscaling,0.01,200,sgd,0.5,0.5,0.5,0.5,462.76612520217896,329.57296442985535,3105.67578125,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate='invscaling',
                               learning_rate_init=0.1, max_iter=300,
                               solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",invscaling,0.1,300,sgd,0.5004273831394161,0.5,0.5,0.4988880233200985,462.76612520217896,366.3642625808716,2918.140625,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate='adaptive',
                               learning_rate_init=0.0001, max_iter=400,
                               solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",adaptive,0.0001,400,sgd,0.5,0.4998342175066313,0.5,0.5,462.76612520217896,502.26844239234924,2917.609375,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate='adaptive', max_iter=500,
                               solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",adaptive,0.001,500,sgd,0.5164339103068449,0.5140209720372836,0.5127680427866429,0.5141646142168936,462.76612520217896,602.6002609729767,2920.171875,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
-6,-2,2,0,30,9,"Pipeline(steps=[('cov', Covariances()), ('ts', TangentSpace()),
                ('clf',
                 MLPClassifier(alpha=1e-05,
                               hidden_layer_sizes=(64, 32, 16, 8, 4),
                               learning_rate='adaptive', learning_rate_init=0.1,
                               max_iter=100, solver='sgd'))])",relu,1e-05,"(64, 32, 16, 8, 4)",adaptive,0.1,100,sgd,0.5710929482411329,0.5677619310017137,0.5490411356793652,0.5482242335596187,462.76612520217896,449.5931224822998,3105.67578125,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,RMLP_MVT_INT_search_preproc,./data/processed/,/iterations/,RMLP_MVT_INT_search_preproc_iter,./logs/,True,True,True
